name,game_internal_id
Feature 65,1562
Feature 66,1562
Feature 41,1562
Feature 67,1562
Feature 5,1628
Feature 21,1628
Feature 28,1628
Feature 4,1628
Feature 1,1628
Feature 22,752
Feature 16,752
Feature 28,752
Feature 4,752
Feature 1,752
Feature 17,406
Feature 12,406
Feature 19,406
Feature 4,406
Feature 1,406
Feature 5,697
Feature 20,697
Feature 8,697
Feature 14,697
Feature 1,697
Feature 9,824
Feature 49,824
Feature 13,824
Feature 4,824
Feature 1,824
Feature 1,353
Feature 16,353
Feature 37,353
Feature 3,353
Feature 5,353
Feature 4,353
Feature 5,1050
Feature 16,1050
Feature 28,1050
Feature 4,1050
Feature 1,1050
Feature 9,1479
Feature 2,1479
Feature 13,1479
Feature 14,1479
Feature 1,1479
Feature 9,61
Feature 25,61
Feature 6,61
Feature 24,61
Feature 4,61
Feature 1,61
Feature 1,1546
Feature 6,1546
Feature 25,1546
Feature 9,1546
Feature 13,1546
Feature 4,1546
Feature 9,98
Feature 48,98
Feature 38,98
Feature 24,98
Feature 1,98
Feature 14,98
Feature 1,758
Feature 55,758
Feature 56,758
Feature 8,758
Feature 4,758
Feature 27,758
Feature 9,711
Feature 10,711
Feature 38,711
Feature 24,711
Feature 14,711
Feature 1,711
Feature 9,981
Feature 12,981
Feature 13,981
Feature 4,981
Feature 1,981
Feature 27,1114
Feature 33,1114
Feature 82,1114
Feature 4,1114
Feature 1,1114
Feature 1,1017
Feature 44,1017
Feature 79,1017
Feature 59,1017
Feature 4,1017
Feature 27,1017
Feature 62,1108
Feature 12,1108
Feature 26,1108
Feature 4,1108
Feature 1,1108
Feature 9,1136
Feature 6,1136
Feature 24,1136
Feature 14,1136
Feature 1,1136
Feature 9,452
Feature 51,452
Feature 76,452
Feature 52,452
Feature 4,452
Feature 1,452
Feature 1,954
Feature 35,954
Feature 4,954
Feature 9,954
Feature 18,954
Feature 22,1525
Feature 18,1525
Feature 13,1525
Feature 4,1525
Feature 1,1525
Feature 9,1074
Feature 15,1074
Feature 43,1074
Feature 24,1074
Feature 14,1074
Feature 1,1074
Feature 9,773
Feature 18,773
Feature 24,773
Feature 14,773
Feature 1,773
Feature 9,797
Feature 15,797
Feature 33,797
Feature 24,797
Feature 4,797
Feature 1,797
Feature 74,1331
Feature 12,1331
Feature 86,1331
Feature 4,1331
Feature 1,1331
Feature 22,823
Feature 61,823
Feature 1,823
Feature 8,823
Feature 4,823
Feature 5,329
Feature 47,329
Feature 28,329
Feature 4,329
Feature 1,329
Feature 15,329
Feature 34,771
Feature 7,771
Feature 24,771
Feature 14,771
Feature 1,771
Feature 1,2112
Feature 87,2112
Feature 4,2112
Feature 27,2112
Feature 21,2112
Feature 60,2112
Feature 12,1690
Feature 1,1690
Feature 27,1690
Feature 53,1713
Feature 1,1713
Feature 10,1713
Feature 20,1713
Feature 59,1713
Feature 4,1713
Feature 60,1713
Feature 1,2151
Feature 55,2151
Feature 27,2151
Feature 60,2151
Feature 1,2143
Feature 16,2143
Feature 7,2143
Feature 87,2143
Feature 4,2143
Feature 27,2143
Feature 60,2143
Feature 1,2167
Feature 10,2167
Feature 59,2167
Feature 4,2167
Feature 27,2167
Feature 60,2167
Feature 1,719
Feature 61,719
Feature 59,719
Feature 4,719
Feature 27,719
Feature 60,719
Feature 1,866
Feature 18,866
Feature 88,866
Feature 24,866
Feature 4,866
Feature 9,866
Feature 1,2085
Feature 5,2085
Feature 12,2085
Feature 82,2085
Feature 4,2085
Feature 1,1347
Feature 12,1347
Feature 19,1347
Feature 17,1347
Feature 4,1347
Feature 1,1878
Feature 72,1878
