gameid,provider,category
1690,Provider 6,Category 4
1712,Provider 5,Category 4
1713,Provider 4,Category 4
1878,Provider 7,Category 4
1881,Provider 3,Category 4
1882,Provider 8,Category 4
1883,Provider 6,Category 4
1884,Provider 3,Category 4
1886,Provider 3,Category 4
1887,Provider 3,Category 4
1889,Provider 3,Category 4
1934,Provider 3,Category 4
1938,Provider 8,Category 4
1941,Provider 5,Category 4
1943,Provider 3,Category 4
1951,Provider 4,Category 4
1952,Provider 4,Category 4
1953,Provider 4,Category 4
1954,Provider 4,Category 4
1956,Provider 4,Category 4
1958,Provider 4,Category 4
1959,Provider 4,Category 4
1963,Provider 4,Category 4
1964,Provider 4,Category 4
1966,Provider 6,Category 4
1968,Provider 3,Category 4
1985,Provider 5,Category 4
1992,Provider 3,Category 4
1993,Provider 3,Category 4
2001,Provider 8,Category 4
2085,Provider 3,Category 4
2089,Provider 4,Category 4
2090,Provider 4,Category 4
2092,Provider 4,Category 4
2100,Provider 8,Category 4
2101,Provider 11,Category 4
2102,Provider 11,Category 4
2104,Provider 12,Category 4
2104,Provider 11,Category 4
2106,Provider 11,Category 4
2108,Provider 12,Category 4
2108,Provider 11,Category 4
2109,Provider 12,Category 4
2109,Provider 11,Category 4
2110,Provider 12,Category 4
2110,Provider 11,Category 4
2112,Provider 12,Category 4
2112,Provider 11,Category 4
2113,Provider 12,Category 4
2113,Provider 11,Category 4
2116,Provider 12,Category 4
2116,Provider 11,Category 4
2117,Provider 12,Category 4
2117,Provider 11,Category 4
2118,Provider 12,Category 4
2118,Provider 11,Category 4
2120,Provider 12,Category 4
2120,Provider 11,Category 4
2124,Provider 12,Category 4
2124,Provider 11,Category 4
2126,Provider 12,Category 4
2126,Provider 11,Category 4
2128,Provider 12,Category 4
2128,Provider 11,Category 4
2130,Provider 12,Category 4
2130,Provider 11,Category 4
2136,Provider 12,Category 4
2136,Provider 11,Category 4
2138,Provider 12,Category 4
2138,Provider 11,Category 4
2141,Provider 11,Category 4
2142,Provider 11,Category 4
2143,Provider 12,Category 4
2143,Provider 11,Category 4
2144,Provider 11,Category 4
2146,Provider 12,Category 4
2146,Provider 11,Category 4
2147,Provider 12,Category 4
2147,Provider 11,Category 4
2148,Provider 12,Category 4
2148,Provider 11,Category 4
2149,Provider 12,Category 4
2149,Provider 11,Category 4
2151,Provider 12,Category 4
2151,Provider 11,Category 4
2152,Provider 12,Category 4
2152,Provider 11,Category 4
2156,Provider 12,Category 4
2156,Provider 11,Category 4
2163,Provider 12,Category 4
2163,Provider 11,Category 4
2164,Provider 12,Category 4
2164,Provider 11,Category 4
2167,Provider 12,Category 4
2167,Provider 11,Category 4
2168,Provider 12,Category 4
2168,Provider 11,Category 4
2169,Provider 12,Category 4
2169,Provider 11,Category 4
2201,Provider 12,Category 4
2201,Provider 11,Category 4
2202,Provider 12,Category 4
2202,Provider 11,Category 4
2203,Provider 12,Category 4
2203,Provider 11,Category 4
2205,Provider 12,Category 4
2205,Provider 11,Category 4
2210,Provider 12,Category 4
2210,Provider 11,Category 4
2211,Provider 11,Category 4
2212,Provider 12,Category 4
2212,Provider 11,Category 4
2213,Provider 12,Category 4
2213,Provider 11,Category 4
2215,Provider 12,Category 4
2215,Provider 11,Category 4
2218,Provider 12,Category 4
2218,Provider 11,Category 4
2219,Provider 11,Category 4
2220,Provider 12,Category 4
2220,Provider 11,Category 4
2221,Provider 12,Category 4
2221,Provider 11,Category 4
2223,Provider 12,Category 4
2223,Provider 11,Category 4
2229,Provider 12,Category 4
2229,Provider 11,Category 4
2230,Provider 12,Category 4
2230,Provider 11,Category 4
2238,Provider 12,Category 4
2238,Provider 11,Category 4
2239,Provider 12,Category 4
2239,Provider 11,Category 4
2241,Provider 12,Category 4
2241,Provider 11,Category 4
2243,Provider 12,Category 4
2243,Provider 11,Category 4
2244,Provider 12,Category 4
2244,Provider 11,Category 4
2249,Provider 12,Category 4
2249,Provider 11,Category 4
2256,Provider 12,Category 4
2256,Provider 11,Category 4
2257,Provider 12,Category 4
2257,Provider 11,Category 4
2258,Provider 12,Category 4
2258,Provider 11,Category 4
2266,Provider 12,Category 4
2266,Provider 11,Category 4
2269,Provider 12,Category 4
2269,Provider 11,Category 4
2277,Provider 12,Category 4
2277,Provider 11,Category 4
2278,Provider 12,Category 4
2278,Provider 11,Category 4
2279,Provider 12,Category 4
2279,Provider 11,Category 4
2286,Provider 12,Category 4
2286,Provider 11,Category 4
2287,Provider 11,Category 3
2299,Provider 12,Category 4
2299,Provider 11,Category 4
2306,Provider 11,Category 4
2307,Provider 12,Category 4
2307,Provider 11,Category 4
2308,Provider 12,Category 4
2308,Provider 11,Category 4
2309,Provider 12,Category 4
2309,Provider 11,Category 4
2310,Provider 12,Category 4
2310,Provider 11,Category 4
2311,Provider 12,Category 4
2311,Provider 11,Category 4
2314,Provider 12,Category 4
2314,Provider 11,Category 4
2316,Provider 12,Category 4
2316,Provider 11,Category 4
2318,Provider 12,Category 4
2318,Provider 11,Category 4
2322,Provider 11,Category 4
2323,Provider 12,Category 4
2323,Provider 11,Category 4
2325,Provider 12,Category 4
2325,Provider 11,Category 4
2326,Provider 12,Category 4
2326,Provider 11,Category 4
2327,Provider 11,Category 4
2331,Provider 12,Category 4
2331,Provider 11,Category 4
2332,Provider 12,Category 4
2332,Provider 11,Category 4
2334,Provider 12,Category 4
2334,Provider 11,Category 4
2342,Provider 12,Category 4
2342,Provider 11,Category 4
2476,Provider 3,Category 4
2479,Provider 13,Category 2
2484,Provider 14,Category 8
2484,Provider 13,Category 8
2493,Provider 13,Category 5
2497,Provider 3,Category 4
2520,Provider 13,Category 8
2522,Provider 14,Category 8
2522,Provider 13,Category 8
2529,Provider 13,Category 8
2545,Provider 14,Category 8
2545,Provider 13,Category 8
2546,Provider 14,Category 8
2546,Provider 13,Category 8
2547,Provider 3,Category 4
2554,Provider 5,Category 4
2555,Provider 8,Category 4
2557,Provider 8,Category 4
2558,Provider 3,Category 4
2660,Provider 11,Category 4
2661,Provider 11,Category 4
2662,Provider 11,Category 4
2663,Provider 3,Category 4
2664,Provider 3,Category 4
2665,Provider 3,Category 4
2668,Provider 9,Category 8
2669,Provider 5,Category 4
2670,Provider 11,Category 4
2671,Provider 8,Category 4
2672,Provider 8,Category 4
2676,Provider 11,Category 4
2678,Provider 3,Category 4
2681,Provider 11,Category 4
2734,Provider 11,Category 4
2881,Provider 3,Category 4
2884,Provider 6,Category 4
2885,Provider 6,Category 4
2958,Provider 11,Category 4
2970,Provider 5,Category 4
