gameid,playerid,rounds
1257,249,31
634,250,22
1356,251,26
456,252,7
981,252,7
242,252,58
406,252,45
1966,252,103
1591,252,2
1713,252,9
818,253,4
825,254,67
845,254,77
456,254,11
1657,255,3
412,256,38
1257,257,40
89,258,483
1670,258,36
1657,259,1
1485,260,124
1985,261,4
2163,262,592
1562,262,2
2238,262,21
2138,262,3
435,262,7
2287,262,27
2238,263,35
2554,263,2
1146,264,485
2497,264,586
1449,265,47
825,265,41
1132,266,399
819,266,14
46,266,175
164,266,86
1985,267,230
1657,268,30
1886,268,1
1657,269,344
1886,270,1
2663,270,25
2143,270,5
2213,270,5
2881,270,32
981,270,22
12,271,11
125,271,101
825,272,121
508,272,122
1886,272,236
1587,272,52
2156,273,2
2970,273,126
2215,273,35
1026,273,1
2681,273,31
1712,273,2
46,274,26
1485,275,160
2670,275,26
883,275,38
2323,275,52
1985,275,10
1934,275,11
1886,275,2086
1469,275,1
198,275,11
2001,275,82
2670,276,15
78,277,1
508,278,250
1485,279,887
162,280,273
2970,280,100
1713,281,105
508,281,2
12,282,1
508,283,1
1886,284,11
508,285,905
2665,286,25
2670,286,30
1934,286,23
2327,286,10
2113,286,3
2164,286,113
981,286,13
2323,286,35
367,286,13
2326,286,13
825,286,5
2101,286,78
30,286,460
2205,286,30
2670,287,33
1713,287,495
164,287,534
959,288,2
41,289,22
807,289,72
162,290,57
2670,290,23
1886,290,944
330,290,27
693,290,173
1985,291,60
711,292,51
1886,292,93
508,292,623
1568,292,31
1657,292,11
1657,293,109
520,294,51
972,294,3
939,295,862
2120,296,16
2681,296,30
508,296,28
711,296,60
2662,297,1030
1292,298,37
575,299,2
819,299,1
981,299,5
1657,300,7
508,301,40
1713,302,596
656,302,145
2670,302,90
520,302,467
1136,303,68
910,303,19
1091,303,89
2970,303,54
508,304,8
469,305,1350
819,306,1
1657,307,17
164,308,91
508,309,17
1311,309,39
307,310,324
130,310,7
131,310,14
603,310,20
2663,310,15
612,310,19
1485,310,56
1091,310,135
1428,310,30
1657,311,1588
1985,311,158
162,312,15
165,312,1
959,313,12
508,314,13
1411,314,6
2678,315,15
2668,315,6
1562,315,4
168,315,60
939,315,100
1449,315,105
164,316,152
649,317,1598
939,317,1
1657,318,39
465,319,232
164,319,1061
2670,320,206
2138,320,110
711,321,147
1666,321,119
1712,321,32
824,321,9
93,321,1501
1562,322,16
626,323,6
2678,324,18
1934,324,3
1886,324,1
1657,325,1
926,326,6
2970,327,682
2671,327,1340
363,327,537
1886,327,2984
1934,328,412
1886,328,632
1889,328,203
1296,329,2
1657,329,3
819,329,1
825,330,43
2138,331,203
334,331,32
191,331,383
508,332,141
98,333,55
1042,333,256
817,333,1434
164,333,284
2090,333,82
508,333,384
1236,333,306
2671,333,138
711,333,220
1223,334,1395
1657,335,231
1257,335,56
456,335,401
243,335,39
981,335,72
819,336,1
1712,337,16
508,338,306
1555,338,237
198,339,83
825,339,276
2001,339,150
164,340,43
1657,340,1
666,341,15
2676,341,24
1584,341,94
819,342,161
1657,343,95
12,344,26
814,345,82
1657,345,13
1878,345,67
1276,345,140
1555,345,130
1125,345,102
2734,345,83
612,345,498
1886,345,56
